Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,বিভূতিভূষণ বন্দ্যোপাধ্যায়ের জন্ম সাল কত?,বিভূতিভূষণের উপন্যাসে ফুটে উঠেছে- প্রাকৃতিক সৌন্দর্যের নানা রূপরেখা নাগরিক জীবনের দুঃখ- কষ্ট মানুষের সহজ-সরল জীবনচিত্র নিচের কোনটি ঠিক?,আম আঁটির ভেঁপু গল্পটি কীসের আখ্যান নিয়ে রচিত হয়েছে?,অপুর টিনের ভেঁপু বাঁশির দাম কত ছিল?,সহজ- সরল প্রকাশভঙ্গি কার রচনার বৈশিষ্ট্য?,মহানবীর মানবপ্রেম প্রকাশ পায়- i.মানুষের প্রতি ভালোবাসা প্রদর্শনের জন্য ii. পৌত্তলিকদের ক্ষমা করে দেওয়ার জন্য iii. হুদায়বিহার সন্ধি মেনে নেওয়ার জন্য নিচের কোনটি ঠিক?,'মসীময়' শব্দের অর্থ কী?,"'আমি রাজা নই, সম্রাট নই,মারুষের প্রভু নই। আমি এমন এক নারীর সন্তান, সাধারণ শুষ্ক মাংসই যাহার নিত্যকার আহার্য।' এ বক্তব্যে হযরত মুহাম্মদ (স) এর চরিত্রের যে দিকটি ফুটে উঠেছে? i. নিরহংকার ii. বিচক্ষণতা iii. সত্যনিষ্ঠ নিচের কোনটি ঠিক?",মোতাহের হোসেন চৌধুরী কোন পত্রিকার সাথে যুক্ত ছিলেন?,কারারুদ্ধ আহারতৃপ্ত মানুষের মূল্যবোধ কতটুকু?_ এই মানুষ কারা?,'শিক্ষা ও মনুষ্যত্ব' প্রবন্ধে লেখক শিক্ষার দিক ফুটিয়ে তুলেছেন নিচের কোন বিষটির মাধ্যমে?,শিক্ষার অপ্রয়োজনীয় দিক প্রকৃতপক্ষে কি শিক্ষা দেয়?,'নিগড়' শব্দের অর্থ কী?,নিচের কোনটি মাইকেল মধুসূদন দত্তের রচনা নয়?,'কপোতাক্ষ নদ' কবিতায় প্রকাশ পেয়েছে-,"'কপোতাক্ষ নদ' কবিতায় কবির সীমাহীন দেশপ্রেম ফুটে উঠেছে নিচের যে পঙক্তিতে- i.সতত, হে নদ, তুমি পড় মোর মনে ii. দগ্ধ-স্রোতরুপী তুমি জন্মভূমি-স্তনে iii. লইছে যে তব নাম বঙ্গের সংগীতে নিচের কোনটি ঠিক?",ষটকে কি থাকে?,' রাজবন্দির জবানবন্দি ' হলো কাজী নজরুল ইসলাম রচিত-,"চেঙ্গিস, গজনি মামুদ, কালাপাহাড় হলেন –",দেবতার বরে রাজা হওয়ার আশায় দরজা খুললেও পথিককে দেখে বন্ধ করে দেওয়ার মধ্যে প্রকাশিত হয়েছে পূজারীর- i. লোভ ii. মনুষ্যত্ব iii. স্বার্থপরতা নিচের কোনটি ঠিক,'আজারির চিন ' শব্দের অর্থ কী?,বাশঁবনে বসে কোন পাখি ডাকে?,'পল্লিজননী' কবিতায় নিবু নিবু দ্বীপকে কার সাথে তুলনা করা হয়েছে?,"'বলেছে আমরা,মোসলমানের আড়ঙ দেখিতে নাই'- এ বাক্যে প্রকাশিত হয়েছে i. গ্রামবাংলায় ফতোয়ার অপপ্রয়োগ ii. বাঙ্গালী মুসলমান পরিবারের ধর্মীয় অনুশাসন iii. পল্লিজননীর অর্থনৈতিক অসামর্থ্যতা নিচের কোনটি ঠিক?",'পল্লিজননী' কবিতায় রগ্ ন ছেলের গালকে কীসের সাথে তুলনা করা হয়েছে?,উপন্যাস অপেক্ষাকৃত কোন কালের সৃষ্টি?,কাকতাড়ুয়া সেজে কাঠফাটা রোদে দাঁড়িয়ে থাকলে বুধার মাথায় কিসের ছায়া নেমে আসে?,শাহাবুদ্দিন- i. মুক্তিযোদ্ধা কমান্ডার ii. আর্ট কলেজের ছাত্র iii. দেশপ্রেমিক নিচের কোনটি ঠিক?,কে বুধাকে 'আশ্চর্য বীর কাকতাড়ুয়া' বলেছেন?,শান্তি কমিটির চেয়ারম্যান কে?
T01190020MNHZ,2021-06-15 17:00:26+06:00,2021-06-15 17:34:21+06:00,0:31:03,83,25.00,30.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190021hlcf,2021-06-15 17:03:23+06:00,2021-06-15 17:38:13+06:00,0:33:55,47,14.00,30.00,1.00,0,0,0,0,0,0,0,1.00,1.00,0,1.00,0,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,1.00
T01190023taha,2021-06-15 17:04:48+06:00,2021-06-15 17:31:28+06:00,0:26:36,80,24.00,30.00,1.00,0,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00
T01190026MASM,2021-06-15 17:01:20+06:00,2021-06-15 17:18:02+06:00,0:16:40,37,11.00,30.00,1.00,0,0,1.00,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,1.00,0,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,1.00
T01190027MDAD,2021-06-15 17:00:38+06:00,2021-06-15 17:24:46+06:00,0:24:03,73,22.00,30.00,1.00,0,0,1.00,0,0,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190028vabi,2021-06-15 17:00:55+06:00,2021-06-15 17:23:14+06:00,0:22:19,33,10.00,30.00,1.00,0,0,1.00,0,0,0,0,1.00,0,0,1.00,0,1.00,0,0,0,1.00,0,0,0,0,1.00,0,1.00,0,0,0,1.00,1.00
T01190029HLCD,2021-06-15 17:03:30+06:00,2021-06-15 17:24:00+06:00,0:18:19,57,17.00,30.00,1.00,1.00,0,1.00,0,0,0,0,1.00,0,0,0,1.00,1.00,1.00,0,0,0,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190032come,2021-06-15 17:05:01+06:00,2021-06-15 17:26:59+06:00,0:21:38,53,16.00,30.00,1.00,0,0,0,0,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,0,0,1.00,1.00,0
T01190035MSRM,2021-06-15 17:02:32+06:00,2021-06-15 17:36:45+06:00,0:34:04,83,25.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00
T01190036MSMC,2021-06-15 17:00:37+06:00,2021-06-15 17:15:27+06:00,0:14:48,57,17.00,30.00,1.00,0,1.00,1.00,0,0,1.00,1.00,0,0,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,0,0,0,1.00,1.00,1.00,0
T01190039TTTT,2021-06-15 17:02:46+06:00,2021-06-15 17:33:07+06:00,0:30:19,47,14.00,30.00,1.00,0,0,1.00,0,0,0,0,1.00,0,0,0,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,0,1.00
T01190040RASH,2021-06-15 17:01:37+06:00,2021-06-15 17:16:22+06:00,0:14:38,57,17.00,30.00,1.00,0,1.00,0,0,0,1.00,1.00,0,1.00,1.00,0,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,0,1.00,1.00,1.00,0
T01190042RnKh,2021-06-15 17:02:24+06:00,2021-06-15 17:37:26+06:00,0:34:09,77,23.00,30.00,1.00,0,1.00,1.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00
T01190043BINA,2021-06-15 17:05:56+06:00,2021-06-15 17:40:58+06:00,0:35:00,63,19.00,30.00,1.00,0,0,0,1.00,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00
T01190044siam,2021-06-15 17:04:34+06:00,2021-06-15 17:23:13+06:00,0:17:43,53,16.00,30.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,0,0,1.00,1.00,1.00,0,0,1.00,0,0,1.00,1.00,0,0,0,1.00,1.00,0,1.00,1.00,1.00
T01190045Kona,2021-06-15 17:15:06+06:00,2021-06-15 17:29:33+06:00,0:14:21,47,14.00,30.00,1.00,0,0,1.00,0,0,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,0,0,1.00,0,1.00,0,1.00,0,0,0
T01190047HLCO,2021-06-15 17:10:58+06:00,2021-06-15 17:34:13+06:00,0:20:08,60,18.00,30.00,1.00,0,1.00,1.00,0,0,0,1.00,0,0,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,0,1.00
T01190052abcd,2021-06-15 17:02:31+06:00,2021-06-15 17:35:32+06:00,0:23:14,43,13.00,30.00,0,0,1.00,1.00,0,0,1.00,1.00,0,0,0,0,1.00,1.00,1.00,0,1.00,0,0,1.00,1.00,0,0,1.00,0,1.00,0,0,1.00,0
T01190053SAMI,2021-06-15 17:01:28+06:00,2021-06-15 17:25:16+06:00,0:22:06,77,23.00,30.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190055tabi,2021-06-15 17:01:48+06:00,2021-06-15 17:30:09+06:00,0:28:18,37,11.00,30.00,1.00,0,0,1.00,0,0,0,0,1.00,0,1.00,0,0,0,1.00,0,0,0,0,1.00,0,1.00,1.00,0,0,0,1.00,1.00,1.00,0
T01190057jnat,2021-06-15 17:06:36+06:00,2021-06-15 17:38:04+06:00,0:31:25,77,23.00,30.00,1.00,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00
T01190058AMim,2021-06-15 17:02:13+06:00,2021-06-15 17:26:23+06:00,0:24:07,50,15.00,30.00,1.00,0,1.00,1.00,0,0,1.00,0,0,0,0,0,0,1.00,1.00,0,0,0,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190060JHDI,2021-06-15 17:08:24+06:00,2021-06-15 17:22:19+06:00,0:13:37,47,14.00,30.00,1.00,0,0,0,0,0,0,0,1.00,0,0,0,0,1.00,1.00,0,0,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00
T01190061BOSS,2021-06-15 17:01:36+06:00,2021-06-15 17:33:59+06:00,0:31:23,60,18.00,30.00,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,0,1.00,0,1.00,1.00,1.00,0,0,0,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00,1.00,0,1.00
T01190062AAAA,2021-06-15 17:01:07+06:00,2021-06-15 17:16:45+06:00,0:11:30,60,18.00,30.00,1.00,0,0,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,0,1.00,1.00,0,0,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,0,1.00
T01190063HIMU,2021-06-15 17:05:38+06:00,2021-06-15 17:22:06+06:00,0:16:25,57,17.00,30.00,1.00,1.00,1.00,0,0,0,0,0,1.00,0,1.00,0,0,1.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00
T01190065Hdhd,2021-06-15 17:03:20+06:00,2021-06-15 17:32:42+06:00,0:21:16,100,30.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190066HLCI,2021-06-15 17:06:39+06:00,2021-06-15 17:39:26+06:00,0:32:14,70,21.00,30.00,1.00,0,1.00,1.00,1.00,0,1.00,0,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
